Click id,Thời gian Click,Khu vực Click,Sub_id,Người giới thiệu
1c917744f9c18baeecad12fc95bec133,2026-07-13 02:16:15,Viet Nam,----,EdgeBrowser
65e4aacdd69c7c706113effb43931afa,2026-07-13 02:16:00,Viet Nam,----,EdgeBrowser
70aafae0a0dd7d2c5f283faff6ace579,2026-07-13 02:15:37,Viet Nam,----,EdgeBrowser
b6dce14600da5180c23b547f56dea836,2026-07-12 21:38:11,Viet Nam,----,Others
3e4a8afcca71f92f56da25bcbf15c4b9,2026-07-12 19:45:00,Viet Nam,----,YouTube
a23149b39589bcbd651e494c8070344e,2026-07-12 15:20:25,Viet Nam,----,Others
58a9660ffb5420e1e8c37c085688dcf4,2026-07-12 06:29:54,Viet Nam,----,Others
6269748e81048eb2a43d39c95e856aa9,2026-07-11 22:34:36,Viet Nam,----,Websites
2bc03d23c57ce7853e5bede7ee149ea2,2026-07-10 10:00:05,Viet Nam,----,Websites
1bcaf385f59d626a303dfede0d87cc46,2026-07-10 09:59:54,Viet Nam,----,Websites
a84b23f4fb4c67915db7edc4c5deb670,2026-07-08 22:34:04,Viet Nam,----,YouTube
bc2f1778f6ee742100219d4031df808c,2026-07-08 21:18:57,Viet Nam,----,Websites
753e43557eeaa9f6e7664d86355bffc4,2026-07-08 21:18:46,Viet Nam,----,Websites
e1cca864050fe05a5a12c319d22f1683,2026-07-08 21:18:30,Viet Nam,----,Websites
cf29e2f3986c339393c3bf9c14919fd0,2026-07-08 11:05:40,Viet Nam,----,Others
318a303b7fae9916d27fbde24c727a73,2026-07-08 09:20:58,Viet Nam,----,Others
